OBJECTID,Park_Name,MSName,ServType,Drive,Amps,CampName,InService,CampstNumb,Overnight,Day_use,PicnicT,PT_Cndtn,PT_HC_Accs,PT_Mterial,Grill,GrllCndtn,GrlHC_Accs,Grill_type,CampType,CampHC_Acs,CampPrxmty,Surface,PadCndtn,ElctHokup,ElctCndtn,AreaWater,WatHookup,WaterCndtn,Water_type,SewerHokup,Sew_Cndtn,SewerCover,Shade,Fr_rin_pit,Fr_HC_Aces,LnternPost,InspctDate,Comment,MSType
2344,Great Salt Plains State Park,,Tent,,,,No,14,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,
2345,Great Salt Plains State Park,,Tent,,,,No,17,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,
2346,Great Salt Plains State Park,,Tent,,,,No,19,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,
2347,Great Salt Plains State Park,,Tent,,,,No,20,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,
2348,Great Salt Plains State Park,,Tent,,,,No,21,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,
2349,Great Salt Plains State Park,,Tent,,,,No,22,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,
2350,Great Salt Plains State Park,SBT10,Tent,,,Sandy Beach West,Yes,10,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,5/17/2012,,Tent
2351,Great Salt Plains State Park,,Tent,,,,No,43,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Ground-Tiltback,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,
2352,Great Salt Plains State Park,SBT09,Tent,,,Sandy Beach West,Yes,9,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Ground-Tiltback,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,Tent
2353,Great Salt Plains State Park,,Tent,,,,No,41,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,
